YEAR,NEGSCORE,LITSCORE,ABGSCORE,VIX
1990,1.278670967,0.42781466,1.063943969,26.38
1991,1.171114942,0.477659466,0.87827385,19.31
1992,0.833722372,0.57574777,1.080436796,12.57
1993,1.894708924,0.300657314,1.638730314,11.66
1994,1.71052071,0.190210236,1.746303702,13.2
1995,1.934641174,0.251059326,1.738316438,12.52
1996,1.734792709,0.252213429,1.760751577,20.92
1997,1.67266932,0.198696816,1.873340543,24.01
1998,2.227925671,0.24418214,1.725260528,24.42
1999,1.600594901,0.24177723,1.727396406,24.64
2000,1.860965691,0.189040657,1.657896361,26.85
2001,3.033507942,0.251961159,1.702265555,23.8
2002,2.319198808,0.238086302,1.657987494,28.62
2003,1.953136925,0.206031124,1.823194913,18.31
2004,1.523532238,0.218008142,1.692589356,13.29
2005,1.423821444,0.244597682,1.77550319,12.07
2006,1.572328924,0.231165009,1.825911964,11.56
2007,2.293990101,0.218048139,1.942469019,22.5
2008,2.8169106,0.253063529,1.524652563,40
2009,2.273874459,0.265550313,1.519694405,21.68
2010,1.99784413,0.29491078,1.449822318,17.75
2011,2.06298772,0.258442948,1.575188966,23.4
2012,2.120515916,0.215466837,1.640652408,18.02
2013,1.832334951,0.242587077,1.806167256,13.72
2014,1.712363158,0.239298726,1.627238398,19.2
2015,1.84562408,0.205506677,1.637083516,18.21
2016,1.775626022,0.266709428,1.700733942,14.04
2017,1.528171197,0.210418696,1.644714012,11.04
2018,1.42778199,0.186874168,1.622929694,25.42
2019,1.811924949,0.17110655,1.688881292,13.78
2020,2.185608133,0.212667425,1.353978497,53.54
